dataset;method;cls;nr_events;n_iter;metric;score
synthetic_log_5;single_index;xgboost;-1;-1;test_prefix_generation_time;0.9057066440582275
synthetic_log_5;single_index;xgboost;-1;0;train_prefix_generation_time;0.9107048511505127
synthetic_log_5;single_index;xgboost;-1;0;offline_time_total;6.596862554550171
synthetic_log_5;single_index;xgboost;-1;0;online_time_avg;0.02831562717381897
synthetic_log_5;single_index;xgboost;-1;0;online_time_std;0.029681167568623632
synthetic_log_5;single_index;xgboost;-1;1;train_prefix_generation_time;0.784282922744751
synthetic_log_5;single_index;xgboost;-1;1;offline_time_total;5.122011661529541
synthetic_log_5;single_index;xgboost;-1;1;online_time_avg;0.023237133025549028
synthetic_log_5;single_index;xgboost;-1;1;online_time_std;0.023762955966910092
synthetic_log_5;single_index;xgboost;-1;2;train_prefix_generation_time;0.7722856998443604
synthetic_log_5;single_index;xgboost;-1;2;offline_time_total;5.476003646850586
synthetic_log_5;single_index;xgboost;-1;2;online_time_avg;0.023384248042198633
synthetic_log_5;single_index;xgboost;-1;2;online_time_std;0.023869911785921755
synthetic_log_5;single_index;xgboost;-1;3;train_prefix_generation_time;0.8792815208435059
synthetic_log_5;single_index;xgboost;-1;3;offline_time_total;8.391023397445679
synthetic_log_5;single_index;xgboost;-1;3;online_time_avg;0.026662741459777893
synthetic_log_5;single_index;xgboost;-1;3;online_time_std;0.027823950050189936
synthetic_log_5;single_index;xgboost;-1;4;train_prefix_generation_time;0.8247332572937012
synthetic_log_5;single_index;xgboost;-1;4;offline_time_total;5.479164123535156
synthetic_log_5;single_index;xgboost;-1;4;online_time_avg;0.022750577928223676
synthetic_log_5;single_index;xgboost;-1;4;online_time_std;0.023250270663302892
synthetic_log_5;single_index;xgboost;-1;5;train_prefix_generation_time;0.7382986545562744
synthetic_log_5;single_index;xgboost;-1;5;offline_time_total;4.926023721694946
synthetic_log_5;single_index;xgboost;-1;5;online_time_avg;0.026139460651848738
synthetic_log_5;single_index;xgboost;-1;5;online_time_std;0.027021209849428157
synthetic_log_5;single_index;xgboost;-1;6;train_prefix_generation_time;1.0686531066894531
synthetic_log_5;single_index;xgboost;-1;6;offline_time_total;9.095068454742432
synthetic_log_5;single_index;xgboost;-1;6;online_time_avg;0.030713626145533298
synthetic_log_5;single_index;xgboost;-1;6;online_time_std;0.03178582065565945
synthetic_log_5;single_index;xgboost;-1;7;train_prefix_generation_time;1.0916461944580078
synthetic_log_5;single_index;xgboost;-1;7;offline_time_total;9.139961242675781
synthetic_log_5;single_index;xgboost;-1;7;online_time_avg;0.021862193343493215
synthetic_log_5;single_index;xgboost;-1;7;online_time_std;0.02249543748649716
synthetic_log_5;single_index;xgboost;-1;8;train_prefix_generation_time;0.7263021469116211
synthetic_log_5;single_index;xgboost;-1;8;offline_time_total;4.922034740447998
synthetic_log_5;single_index;xgboost;-1;8;online_time_avg;0.02177437454424396
synthetic_log_5;single_index;xgboost;-1;8;online_time_std;0.022332948204657595
synthetic_log_5;single_index;xgboost;-1;9;train_prefix_generation_time;0.67578125
synthetic_log_5;single_index;xgboost;-1;9;offline_time_total;4.77045464515686
synthetic_log_5;single_index;xgboost;-1;9;online_time_avg;0.02096833122556166
synthetic_log_5;single_index;xgboost;-1;9;online_time_std;0.02141256343918513
synthetic_log_5;single_index;xgboost;1;-1;auc;0.788694287909836
synthetic_log_5;single_index;xgboost;2;-1;auc;0.8193039190573771
synthetic_log_5;single_index;xgboost;3;-1;auc;0.8193039190573771
synthetic_log_5;single_index;xgboost;4;-1;auc;0.8193039190573771
synthetic_log_5;single_index;xgboost;5;-1;auc;0.8193039190573771
synthetic_log_5;single_index;xgboost;6;-1;auc;0.8263744813278008
synthetic_log_5;single_index;xgboost;7;-1;auc;0.813774528664871
synthetic_log_5;single_index;xgboost;8;-1;auc;0.804226475279107
synthetic_log_5;single_index;xgboost;9;-1;auc;0.8041808111488298
synthetic_log_5;single_index;xgboost;10;-1;auc;0.8014800759013283
synthetic_log_5;single_index;xgboost;11;-1;auc;0.8041056798306178
synthetic_log_5;single_index;xgboost;12;-1;auc;0.8222978723404255
synthetic_log_5;single_index;xgboost;13;-1;auc;0.8201112412177985
synthetic_log_5;single_index;xgboost;14;-1;auc;0.8215277777777777
synthetic_log_5;single_index;xgboost;15;-1;auc;0.8415207734517899
synthetic_log_5;single_index;xgboost;16;-1;auc;0.8531343283582089
synthetic_log_5;single_index;xgboost;17;-1;auc;0.858032786885246
synthetic_log_5;single_index;xgboost;18;-1;auc;0.8501424501424502
synthetic_log_5;single_index;xgboost;19;-1;auc;0.8181818181818181
synthetic_log_5;single_index;xgboost;-1;-1;auc;0.8163531240193598
synthetic_log_5;single_index;xgboost;-1;-1;online_time_avg;0.024580831354024908
synthetic_log_5;single_index;xgboost;-1;-1;online_time_std;0.025743319811255286
synthetic_log_5;single_index;xgboost;-1;-1;offline_time_total_avg;6.391860818862915
synthetic_log_5;single_index;xgboost;-1;-1;offline_time_total_std;1.7064705026809477
