iter;dataset;cls;method;param;value;score
2;synthetic_log_5;xgboost;single_index;colsample_bytree;0.8117065470350372;0.7568449563071642
2;synthetic_log_5;xgboost;single_index;learning_rate;0.5165904822684949;0.7568449563071642
2;synthetic_log_5;xgboost;single_index;max_depth;28;0.7568449563071642
2;synthetic_log_5;xgboost;single_index;min_child_weight;3;0.7568449563071642
2;synthetic_log_5;xgboost;single_index;subsample;0.8388847147546747;0.7568449563071642
2;synthetic_log_5;xgboost;single_index;processing_time;6.658841848373413;0
3;synthetic_log_5;xgboost;single_index;colsample_bytree;0.98355593186919;0.7799812291517156
3;synthetic_log_5;xgboost;single_index;learning_rate;0.09550917815405624;0.7799812291517156
3;synthetic_log_5;xgboost;single_index;max_depth;29;0.7799812291517156
3;synthetic_log_5;xgboost;single_index;min_child_weight;2;0.7799812291517156
3;synthetic_log_5;xgboost;single_index;subsample;0.6265257868913725;0.7799812291517156
3;synthetic_log_5;xgboost;single_index;processing_time;12.011107444763184;0
4;synthetic_log_5;xgboost;single_index;colsample_bytree;0.651289054585237;0.7644365097764497
4;synthetic_log_5;xgboost;single_index;learning_rate;0.6744331700904672;0.7644365097764497
4;synthetic_log_5;xgboost;single_index;max_depth;7;0.7644365097764497
4;synthetic_log_5;xgboost;single_index;min_child_weight;4;0.7644365097764497
4;synthetic_log_5;xgboost;single_index;subsample;0.9782524456166547;0.7644365097764497
4;synthetic_log_5;xgboost;single_index;processing_time;5.709150552749634;0
5;synthetic_log_5;xgboost;single_index;colsample_bytree;0.5959433089144275;0.7671042748998055
5;synthetic_log_5;xgboost;single_index;learning_rate;0.5494951320309911;0.7671042748998055
5;synthetic_log_5;xgboost;single_index;max_depth;11;0.7671042748998055
5;synthetic_log_5;xgboost;single_index;min_child_weight;1;0.7671042748998055
5;synthetic_log_5;xgboost;single_index;subsample;0.6920132839662088;0.7671042748998055
5;synthetic_log_5;xgboost;single_index;processing_time;6.293959856033325;0
6;synthetic_log_5;xgboost;single_index;colsample_bytree;0.8085984394480912;0.7836451186840158
6;synthetic_log_5;xgboost;single_index;learning_rate;0.26323457193688193;0.7836451186840158
6;synthetic_log_5;xgboost;single_index;max_depth;4;0.7836451186840158
6;synthetic_log_5;xgboost;single_index;min_child_weight;2;0.7836451186840158
6;synthetic_log_5;xgboost;single_index;subsample;0.7664518166061621;0.7836451186840158
6;synthetic_log_5;xgboost;single_index;processing_time;7.535557508468628;0
7;synthetic_log_5;xgboost;single_index;colsample_bytree;0.963880972882154;0.7692894815920814
7;synthetic_log_5;xgboost;single_index;learning_rate;0.5770548873748146;0.7692894815920814
7;synthetic_log_5;xgboost;single_index;max_depth;26;0.7692894815920814
7;synthetic_log_5;xgboost;single_index;min_child_weight;3;0.7692894815920814
7;synthetic_log_5;xgboost;single_index;subsample;0.9703668832120063;0.7692894815920814
7;synthetic_log_5;xgboost;single_index;processing_time;6.983736753463745;0
8;synthetic_log_5;xgboost;single_index;colsample_bytree;0.9578356678653923;0.764248977816203
8;synthetic_log_5;xgboost;single_index;learning_rate;0.7491615464306479;0.764248977816203
8;synthetic_log_5;xgboost;single_index;max_depth;29;0.764248977816203
8;synthetic_log_5;xgboost;single_index;min_child_weight;2;0.764248977816203
8;synthetic_log_5;xgboost;single_index;subsample;0.5174660844773973;0.764248977816203
8;synthetic_log_5;xgboost;single_index;processing_time;7.440588712692261;0
9;synthetic_log_5;xgboost;single_index;colsample_bytree;0.943586186044568;0.7501469388974945
9;synthetic_log_5;xgboost;single_index;learning_rate;0.775004256740097;0.7501469388974945
9;synthetic_log_5;xgboost;single_index;max_depth;29;0.7501469388974945
9;synthetic_log_5;xgboost;single_index;min_child_weight;5;0.7501469388974945
9;synthetic_log_5;xgboost;single_index;subsample;0.9856473583359877;0.7501469388974945
9;synthetic_log_5;xgboost;single_index;processing_time;6.568871736526489;0
10;synthetic_log_5;xgboost;single_index;colsample_bytree;0.6769294566013702;0.7709535857738148
10;synthetic_log_5;xgboost;single_index;learning_rate;0.23542854214292785;0.7709535857738148
10;synthetic_log_5;xgboost;single_index;max_depth;11;0.7709535857738148
10;synthetic_log_5;xgboost;single_index;min_child_weight;5;0.7709535857738148
10;synthetic_log_5;xgboost;single_index;subsample;0.7702380484803654;0.7709535857738148
10;synthetic_log_5;xgboost;single_index;processing_time;6.994733095169067;0
11;synthetic_log_5;xgboost;single_index;colsample_bytree;0.7164111780465756;0.7352031080892285
11;synthetic_log_5;xgboost;single_index;learning_rate;0.9506878646470397;0.7352031080892285
11;synthetic_log_5;xgboost;single_index;max_depth;21;0.7352031080892285
11;synthetic_log_5;xgboost;single_index;min_child_weight;5;0.7352031080892285
11;synthetic_log_5;xgboost;single_index;subsample;0.8728666389962927;0.7352031080892285
11;synthetic_log_5;xgboost;single_index;processing_time;5.705150842666626;0
