iter;dataset;cls;method;param;value;score
2;sepsis_cases_2;xgboost;single_index;colsample_bytree;0.9818539647150919;0.7896724915596115
2;sepsis_cases_2;xgboost;single_index;learning_rate;0.4748549426791705;0.7896724915596115
2;sepsis_cases_2;xgboost;single_index;max_depth;9;0.7896724915596115
2;sepsis_cases_2;xgboost;single_index;min_child_weight;5;0.7896724915596115
2;sepsis_cases_2;xgboost;single_index;subsample;0.8198085096863583;0.7896724915596115
2;sepsis_cases_2;xgboost;single_index;processing_time;5.4795167446136475;0
3;sepsis_cases_2;xgboost;single_index;colsample_bytree;0.6772524659405802;0.7915341578271282
3;sepsis_cases_2;xgboost;single_index;learning_rate;0.8369521651736527;0.7915341578271282
3;sepsis_cases_2;xgboost;single_index;max_depth;11;0.7915341578271282
3;sepsis_cases_2;xgboost;single_index;min_child_weight;2;0.7915341578271282
3;sepsis_cases_2;xgboost;single_index;subsample;0.8252300468182867;0.7915341578271282
3;sepsis_cases_2;xgboost;single_index;processing_time;4.805382013320923;0
4;sepsis_cases_2;xgboost;single_index;colsample_bytree;0.7532822227300984;0.7642365703249826
4;sepsis_cases_2;xgboost;single_index;learning_rate;0.7803781046888386;0.7642365703249826
4;sepsis_cases_2;xgboost;single_index;max_depth;11;0.7642365703249826
4;sepsis_cases_2;xgboost;single_index;min_child_weight;3;0.7642365703249826
4;sepsis_cases_2;xgboost;single_index;subsample;0.6760125565140496;0.7642365703249826
4;sepsis_cases_2;xgboost;single_index;processing_time;5.140488624572754;0
5;sepsis_cases_2;xgboost;single_index;colsample_bytree;0.6857543427719588;0.80644695847469
5;sepsis_cases_2;xgboost;single_index;learning_rate;0.6034789032320808;0.80644695847469
5;sepsis_cases_2;xgboost;single_index;max_depth;22;0.80644695847469
5;sepsis_cases_2;xgboost;single_index;min_child_weight;4;0.80644695847469
5;sepsis_cases_2;xgboost;single_index;subsample;0.6058892772454078;0.80644695847469
5;sepsis_cases_2;xgboost;single_index;processing_time;5.282806634902954;0
6;sepsis_cases_2;xgboost;single_index;colsample_bytree;0.7971846588327154;0.7726351255036551
6;sepsis_cases_2;xgboost;single_index;learning_rate;0.983098699098812;0.7726351255036551
6;sepsis_cases_2;xgboost;single_index;max_depth;26;0.7726351255036551
6;sepsis_cases_2;xgboost;single_index;min_child_weight;6;0.7726351255036551
6;sepsis_cases_2;xgboost;single_index;subsample;0.9257469498600047;0.7726351255036551
6;sepsis_cases_2;xgboost;single_index;processing_time;4.702309846878052;0
7;sepsis_cases_2;xgboost;single_index;colsample_bytree;0.6051673678520711;0.8061750949514049
7;sepsis_cases_2;xgboost;single_index;learning_rate;0.08076443259897526;0.8061750949514049
7;sepsis_cases_2;xgboost;single_index;max_depth;5;0.8061750949514049
7;sepsis_cases_2;xgboost;single_index;min_child_weight;5;0.8061750949514049
7;sepsis_cases_2;xgboost;single_index;subsample;0.8219812195338536;0.8061750949514049
7;sepsis_cases_2;xgboost;single_index;processing_time;6.46340537071228;0
8;sepsis_cases_2;xgboost;single_index;colsample_bytree;0.7425675140606534;0.7805746246311491
8;sepsis_cases_2;xgboost;single_index;learning_rate;0.7728571865040696;0.7805746246311491
8;sepsis_cases_2;xgboost;single_index;max_depth;30;0.7805746246311491
8;sepsis_cases_2;xgboost;single_index;min_child_weight;5;0.7805746246311491
8;sepsis_cases_2;xgboost;single_index;subsample;0.608856724611673;0.7805746246311491
8;sepsis_cases_2;xgboost;single_index;processing_time;5.438949346542358;0
9;sepsis_cases_2;xgboost;single_index;colsample_bytree;0.8705355751494028;0.7908475308815287
9;sepsis_cases_2;xgboost;single_index;learning_rate;0.502470446465204;0.7908475308815287
9;sepsis_cases_2;xgboost;single_index;max_depth;12;0.7908475308815287
9;sepsis_cases_2;xgboost;single_index;min_child_weight;3;0.7908475308815287
9;sepsis_cases_2;xgboost;single_index;subsample;0.9722408138032275;0.7908475308815287
9;sepsis_cases_2;xgboost;single_index;processing_time;6.4797139167785645;0
10;sepsis_cases_2;xgboost;single_index;colsample_bytree;0.5342981721734763;0.8128077945234019
10;sepsis_cases_2;xgboost;single_index;learning_rate;0.963051949385643;0.8128077945234019
10;sepsis_cases_2;xgboost;single_index;max_depth;22;0.8128077945234019
10;sepsis_cases_2;xgboost;single_index;min_child_weight;2;0.8128077945234019
10;sepsis_cases_2;xgboost;single_index;subsample;0.7054870491077809;0.8128077945234019
10;sepsis_cases_2;xgboost;single_index;processing_time;5.997172117233276;0
11;sepsis_cases_2;xgboost;single_index;colsample_bytree;0.5878028138814824;0.7884358745050798
11;sepsis_cases_2;xgboost;single_index;learning_rate;0.259811508834324;0.7884358745050798
11;sepsis_cases_2;xgboost;single_index;max_depth;27;0.7884358745050798
11;sepsis_cases_2;xgboost;single_index;min_child_weight;4;0.7884358745050798
11;sepsis_cases_2;xgboost;single_index;subsample;0.8973535317339417;0.7884358745050798
11;sepsis_cases_2;xgboost;single_index;processing_time;8.629738807678223;0
