iter;dataset;cls;method;param;value;score
2;synthetic_log_6;xgboost;single_index;colsample_bytree;0.6112468437628823;0.8769668644266907
2;synthetic_log_6;xgboost;single_index;learning_rate;0.677649672403606;0.8769668644266907
2;synthetic_log_6;xgboost;single_index;max_depth;18;0.8769668644266907
2;synthetic_log_6;xgboost;single_index;min_child_weight;4;0.8769668644266907
2;synthetic_log_6;xgboost;single_index;subsample;0.7018764995068392;0.8769668644266907
2;synthetic_log_6;xgboost;single_index;processing_time;5.571194648742676;0
3;synthetic_log_6;xgboost;single_index;colsample_bytree;0.8019169573767037;0.882445660650666
3;synthetic_log_6;xgboost;single_index;learning_rate;0.9424502191506748;0.882445660650666
3;synthetic_log_6;xgboost;single_index;max_depth;25;0.882445660650666
3;synthetic_log_6;xgboost;single_index;min_child_weight;3;0.882445660650666
3;synthetic_log_6;xgboost;single_index;subsample;0.597499057351943;0.882445660650666
3;synthetic_log_6;xgboost;single_index;processing_time;6.214986562728882;0
4;synthetic_log_6;xgboost;single_index;colsample_bytree;0.8127157379882266;0.8801071255417007
4;synthetic_log_6;xgboost;single_index;learning_rate;0.5175109651267076;0.8801071255417007
4;synthetic_log_6;xgboost;single_index;max_depth;22;0.8801071255417007
4;synthetic_log_6;xgboost;single_index;min_child_weight;6;0.8801071255417007
4;synthetic_log_6;xgboost;single_index;subsample;0.8427362628582965;0.8801071255417007
4;synthetic_log_6;xgboost;single_index;processing_time;6.048039436340332;0
5;synthetic_log_6;xgboost;single_index;colsample_bytree;0.6834716599331037;0.8604070150510784
5;synthetic_log_6;xgboost;single_index;learning_rate;0.0018604333208797064;0.8604070150510784
5;synthetic_log_6;xgboost;single_index;max_depth;7;0.8604070150510784
5;synthetic_log_6;xgboost;single_index;min_child_weight;3;0.8604070150510784
5;synthetic_log_6;xgboost;single_index;subsample;0.7761638104857151;0.8604070150510784
5;synthetic_log_6;xgboost;single_index;processing_time;11.623233079910278;0
6;synthetic_log_6;xgboost;single_index;colsample_bytree;0.5224563944895275;0.890911811840455
6;synthetic_log_6;xgboost;single_index;learning_rate;0.13972095581058397;0.890911811840455
6;synthetic_log_6;xgboost;single_index;max_depth;7;0.890911811840455
6;synthetic_log_6;xgboost;single_index;min_child_weight;3;0.890911811840455
6;synthetic_log_6;xgboost;single_index;subsample;0.7012645391133706;0.890911811840455
6;synthetic_log_6;xgboost;single_index;processing_time;6.523885726928711;0
7;synthetic_log_6;xgboost;single_index;colsample_bytree;0.8220442353948751;0.8804052685987105
7;synthetic_log_6;xgboost;single_index;learning_rate;0.6759597747343887;0.8804052685987105
7;synthetic_log_6;xgboost;single_index;max_depth;18;0.8804052685987105
7;synthetic_log_6;xgboost;single_index;min_child_weight;5;0.8804052685987105
7;synthetic_log_6;xgboost;single_index;subsample;0.6450351535759478;0.8804052685987105
7;synthetic_log_6;xgboost;single_index;processing_time;6.343944311141968;0
8;synthetic_log_6;xgboost;single_index;colsample_bytree;0.5429693897015733;0.8775709865816556
8;synthetic_log_6;xgboost;single_index;learning_rate;0.6082158065852316;0.8775709865816556
8;synthetic_log_6;xgboost;single_index;max_depth;5;0.8775709865816556
8;synthetic_log_6;xgboost;single_index;min_child_weight;2;0.8775709865816556
8;synthetic_log_6;xgboost;single_index;subsample;0.8136884875202512;0.8775709865816556
8;synthetic_log_6;xgboost;single_index;processing_time;5.258296489715576;0
9;synthetic_log_6;xgboost;single_index;colsample_bytree;0.7642452249341716;0.8755430132633623
9;synthetic_log_6;xgboost;single_index;learning_rate;0.782736592315641;0.8755430132633623
9;synthetic_log_6;xgboost;single_index;max_depth;8;0.8755430132633623
9;synthetic_log_6;xgboost;single_index;min_child_weight;5;0.8755430132633623
9;synthetic_log_6;xgboost;single_index;subsample;0.8747089226249667;0.8755430132633623
9;synthetic_log_6;xgboost;single_index;processing_time;5.647170305252075;0
10;synthetic_log_6;xgboost;single_index;colsample_bytree;0.7811850100733494;0.8766856494467034
10;synthetic_log_6;xgboost;single_index;learning_rate;0.5846018018161527;0.8766856494467034
10;synthetic_log_6;xgboost;single_index;max_depth;30;0.8766856494467034
10;synthetic_log_6;xgboost;single_index;min_child_weight;4;0.8766856494467034
10;synthetic_log_6;xgboost;single_index;subsample;0.9059488951413204;0.8766856494467034
10;synthetic_log_6;xgboost;single_index;processing_time;5.909085512161255;0
11;synthetic_log_6;xgboost;single_index;colsample_bytree;0.7453126347586053;0.8909176271242133
11;synthetic_log_6;xgboost;single_index;learning_rate;0.11127179924033648;0.8909176271242133
11;synthetic_log_6;xgboost;single_index;max_depth;28;0.8909176271242133
11;synthetic_log_6;xgboost;single_index;min_child_weight;4;0.8909176271242133
11;synthetic_log_6;xgboost;single_index;subsample;0.6190398316736563;0.8909176271242133
11;synthetic_log_6;xgboost;single_index;processing_time;8.889119148254395;0
