iter;dataset;cls;method;param;value;score
2;synthetic_log_1;xgboost;single_index;colsample_bytree;0.5774704954690361;0.7508814135373326
2;synthetic_log_1;xgboost;single_index;learning_rate;0.31153971043811923;0.7508814135373326
2;synthetic_log_1;xgboost;single_index;max_depth;18;0.7508814135373326
2;synthetic_log_1;xgboost;single_index;min_child_weight;4;0.7508814135373326
2;synthetic_log_1;xgboost;single_index;subsample;0.5128588751021323;0.7508814135373326
2;synthetic_log_1;xgboost;single_index;processing_time;6.934785604476929;0
3;synthetic_log_1;xgboost;single_index;colsample_bytree;0.5376678633269767;0.7563538305349714
3;synthetic_log_1;xgboost;single_index;learning_rate;0.9120922855708814;0.7563538305349714
3;synthetic_log_1;xgboost;single_index;max_depth;7;0.7563538305349714
3;synthetic_log_1;xgboost;single_index;min_child_weight;2;0.7563538305349714
3;synthetic_log_1;xgboost;single_index;subsample;0.7071029173161807;0.7563538305349714
3;synthetic_log_1;xgboost;single_index;processing_time;5.4102723598480225;0
4;synthetic_log_1;xgboost;single_index;colsample_bytree;0.5633331263189849;0.7546383081485447
4;synthetic_log_1;xgboost;single_index;learning_rate;0.7085677057248689;0.7546383081485447
4;synthetic_log_1;xgboost;single_index;max_depth;27;0.7546383081485447
4;synthetic_log_1;xgboost;single_index;min_child_weight;1;0.7546383081485447
4;synthetic_log_1;xgboost;single_index;subsample;0.6199096289929124;0.7546383081485447
4;synthetic_log_1;xgboost;single_index;processing_time;5.895117282867432;0
5;synthetic_log_1;xgboost;single_index;colsample_bytree;0.9646960283082571;0.7628275900911495
5;synthetic_log_1;xgboost;single_index;learning_rate;0.11419102781669477;0.7628275900911495
5;synthetic_log_1;xgboost;single_index;max_depth;7;0.7628275900911495
5;synthetic_log_1;xgboost;single_index;min_child_weight;3;0.7628275900911495
5;synthetic_log_1;xgboost;single_index;subsample;0.7710751334297132;0.7628275900911495
5;synthetic_log_1;xgboost;single_index;processing_time;9.800870180130005;0
6;synthetic_log_1;xgboost;single_index;colsample_bytree;0.6951356630726613;0.770007599788673
6;synthetic_log_1;xgboost;single_index;learning_rate;0.24830883334498466;0.770007599788673
6;synthetic_log_1;xgboost;single_index;max_depth;24;0.770007599788673
6;synthetic_log_1;xgboost;single_index;min_child_weight;2;0.770007599788673
6;synthetic_log_1;xgboost;single_index;subsample;0.7829568137685825;0.770007599788673
6;synthetic_log_1;xgboost;single_index;processing_time;7.212696075439453;0
7;synthetic_log_1;xgboost;single_index;colsample_bytree;0.627473374290519;0.7481933645875056
7;synthetic_log_1;xgboost;single_index;learning_rate;0.7730458264681185;0.7481933645875056
7;synthetic_log_1;xgboost;single_index;max_depth;19;0.7481933645875056
7;synthetic_log_1;xgboost;single_index;min_child_weight;1;0.7481933645875056
7;synthetic_log_1;xgboost;single_index;subsample;0.5055601045399907;0.7481933645875056
7;synthetic_log_1;xgboost;single_index;processing_time;6.133040904998779;0
8;synthetic_log_1;xgboost;single_index;colsample_bytree;0.9957404814980497;0.7559730377068489
8;synthetic_log_1;xgboost;single_index;learning_rate;0.5456787067055977;0.7559730377068489
8;synthetic_log_1;xgboost;single_index;max_depth;4;0.7559730377068489
8;synthetic_log_1;xgboost;single_index;min_child_weight;3;0.7559730377068489
8;synthetic_log_1;xgboost;single_index;subsample;0.8855225703782472;0.7559730377068489
8;synthetic_log_1;xgboost;single_index;processing_time;7.186705112457275;0
9;synthetic_log_1;xgboost;single_index;colsample_bytree;0.5325659761376029;0.7456023554586154
9;synthetic_log_1;xgboost;single_index;learning_rate;0.9903818868959755;0.7456023554586154
9;synthetic_log_1;xgboost;single_index;max_depth;11;0.7456023554586154
9;synthetic_log_1;xgboost;single_index;min_child_weight;3;0.7456023554586154
9;synthetic_log_1;xgboost;single_index;subsample;0.8105519774571898;0.7456023554586154
9;synthetic_log_1;xgboost;single_index;processing_time;5.1203649044036865;0
10;synthetic_log_1;xgboost;single_index;colsample_bytree;0.6984084418894592;0.7721802783321957
10;synthetic_log_1;xgboost;single_index;learning_rate;0.23252599605164248;0.7721802783321957
10;synthetic_log_1;xgboost;single_index;max_depth;11;0.7721802783321957
10;synthetic_log_1;xgboost;single_index;min_child_weight;4;0.7721802783321957
10;synthetic_log_1;xgboost;single_index;subsample;0.6968798695503986;0.7721802783321957
10;synthetic_log_1;xgboost;single_index;processing_time;7.265679359436035;0
11;synthetic_log_1;xgboost;single_index;colsample_bytree;0.9885619550685693;0.7203754787541113
11;synthetic_log_1;xgboost;single_index;learning_rate;0.8422459532989734;0.7203754787541113
11;synthetic_log_1;xgboost;single_index;max_depth;17;0.7203754787541113
11;synthetic_log_1;xgboost;single_index;min_child_weight;2;0.7203754787541113
11;synthetic_log_1;xgboost;single_index;subsample;0.6639437038233151;0.7203754787541113
11;synthetic_log_1;xgboost;single_index;processing_time;7.211695671081543;0
