dataset;method;cls;nr_events;n_iter;metric;score
synthetic_log_2;single_index;xgboost;-1;-1;test_prefix_generation_time;0.6817829608917236
synthetic_log_2;single_index;xgboost;-1;0;train_prefix_generation_time;0.6897792816162109
synthetic_log_2;single_index;xgboost;-1;0;offline_time_total;7.991447448730469
synthetic_log_2;single_index;xgboost;-1;0;online_time_avg;0.020064004037777344
synthetic_log_2;single_index;xgboost;-1;0;online_time_std;0.02069431342893577
synthetic_log_2;single_index;xgboost;-1;1;train_prefix_generation_time;0.6827819347381592
synthetic_log_2;single_index;xgboost;-1;1;offline_time_total;7.977452754974365
synthetic_log_2;single_index;xgboost;-1;1;online_time_avg;0.020065755055349837
synthetic_log_2;single_index;xgboost;-1;1;online_time_std;0.020780187556236996
synthetic_log_2;single_index;xgboost;-1;2;train_prefix_generation_time;0.6947786808013916
synthetic_log_2;single_index;xgboost;-1;2;offline_time_total;8.032435417175293
synthetic_log_2;single_index;xgboost;-1;2;online_time_avg;0.02010594199180125
synthetic_log_2;single_index;xgboost;-1;2;online_time_std;0.02071565629144521
synthetic_log_2;single_index;xgboost;-1;3;train_prefix_generation_time;0.6827828884124756
synthetic_log_2;single_index;xgboost;-1;3;offline_time_total;8.020439147949219
synthetic_log_2;single_index;xgboost;-1;3;online_time_avg;0.02011968541336905
synthetic_log_2;single_index;xgboost;-1;3;online_time_std;0.020746985052773705
synthetic_log_2;single_index;xgboost;-1;4;train_prefix_generation_time;0.6847817897796631
synthetic_log_2;single_index;xgboost;-1;4;offline_time_total;8.349334239959717
synthetic_log_2;single_index;xgboost;-1;4;online_time_avg;0.020087949319181075
synthetic_log_2;single_index;xgboost;-1;4;online_time_std;0.020666689901037073
synthetic_log_2;single_index;xgboost;-1;5;train_prefix_generation_time;0.6787834167480469
synthetic_log_2;single_index;xgboost;-1;5;offline_time_total;7.983450412750244
synthetic_log_2;single_index;xgboost;-1;5;online_time_avg;0.020089467215225174
synthetic_log_2;single_index;xgboost;-1;5;online_time_std;0.020715575782263743
synthetic_log_2;single_index;xgboost;-1;6;train_prefix_generation_time;0.6757845878601074
synthetic_log_2;single_index;xgboost;-1;6;offline_time_total;7.975453615188599
synthetic_log_2;single_index;xgboost;-1;6;online_time_avg;0.020064728818837703
synthetic_log_2;single_index;xgboost;-1;6;online_time_std;0.020651643661216912
synthetic_log_2;single_index;xgboost;-1;7;train_prefix_generation_time;0.7007763385772705
synthetic_log_2;single_index;xgboost;-1;7;offline_time_total;7.991448163986206
synthetic_log_2;single_index;xgboost;-1;7;online_time_avg;0.020071475675254226
synthetic_log_2;single_index;xgboost;-1;7;online_time_std;0.0206671166925632
synthetic_log_2;single_index;xgboost;-1;8;train_prefix_generation_time;0.6757850646972656
synthetic_log_2;single_index;xgboost;-1;8;offline_time_total;7.982451677322388
synthetic_log_2;single_index;xgboost;-1;8;online_time_avg;0.020118870350692052
synthetic_log_2;single_index;xgboost;-1;8;online_time_std;0.020793278836659736
synthetic_log_2;single_index;xgboost;-1;9;train_prefix_generation_time;0.7007765769958496
synthetic_log_2;single_index;xgboost;-1;9;offline_time_total;8.006443738937378
synthetic_log_2;single_index;xgboost;-1;9;online_time_avg;0.020117539021803837
synthetic_log_2;single_index;xgboost;-1;9;online_time_std;0.020821410825344406
synthetic_log_2;single_index;xgboost;1;-1;auc;0.7914195238784137
synthetic_log_2;single_index;xgboost;2;-1;auc;0.8229573548086351
synthetic_log_2;single_index;xgboost;3;-1;auc;0.8229573548086351
synthetic_log_2;single_index;xgboost;4;-1;auc;0.8229573548086351
synthetic_log_2;single_index;xgboost;5;-1;auc;0.8229573548086351
synthetic_log_2;single_index;xgboost;6;-1;auc;0.8170329466701256
synthetic_log_2;single_index;xgboost;7;-1;auc;0.8135214068228422
synthetic_log_2;single_index;xgboost;8;-1;auc;0.8163175195015454
synthetic_log_2;single_index;xgboost;9;-1;auc;0.8108031272210378
synthetic_log_2;single_index;xgboost;10;-1;auc;0.8080252031172277
synthetic_log_2;single_index;xgboost;11;-1;auc;0.8187211601845747
synthetic_log_2;single_index;xgboost;12;-1;auc;0.8180719726819017
synthetic_log_2;single_index;xgboost;13;-1;auc;0.8306766532232251
synthetic_log_2;single_index;xgboost;14;-1;auc;0.8381624868111355
synthetic_log_2;single_index;xgboost;15;-1;auc;0.8475279106858055
synthetic_log_2;single_index;xgboost;16;-1;auc;0.8328173374613003
synthetic_log_2;single_index;xgboost;17;-1;auc;0.8120414874778649
synthetic_log_2;single_index;xgboost;18;-1;auc;0.7883333333333334
synthetic_log_2;single_index;xgboost;19;-1;auc;0.7474747474747475
synthetic_log_2;single_index;xgboost;-1;-1;auc;0.8176931045412155
synthetic_log_2;single_index;xgboost;-1;-1;online_time_avg;0.020090541689929152
synthetic_log_2;single_index;xgboost;-1;-1;online_time_std;0.020725371950898814
synthetic_log_2;single_index;xgboost;-1;-1;offline_time_total_avg;8.031035661697388
synthetic_log_2;single_index;xgboost;-1;-1;offline_time_total_std;0.10758840124795958
